time,cpu_percent_1,cpu_percent_2,cpu_percent_3,cpu_percent_4,memory_used,memory_free,memory_percent,disk_used,disk_free,disk_percent,cpu_temp
1589027075,0.0,0.0,0.0,0.0,110714880,3851554816,6.0,6801076224,23020621824,22.8,48.199
1589027076,0.0,0.0,1.0,0.0,110710784,3851558912,6.0,6801076224,23020621824,22.8,46.738
1589027077,0.0,0.0,0.0,0.0,110710784,3851558912,6.0,6801076224,23020621824,22.8,47.225
1589027078,0.0,0.0,1.0,0.0,110710784,3851558912,6.0,6801076224,23020621824,22.8,47.712
1589027079,0.0,5.0,0.0,0.0,110620672,3851423744,6.0,6801076224,23020621824,22.8,46.738
1589027080,0.0,0.0,1.0,0.0,110620672,3851423744,6.0,6801076224,23020621824,22.8,47.225
1589027081,0.0,0.0,0.0,0.0,110632960,3851558912,6.0,6801076224,23020621824,22.8,46.738
1589027082,0.0,0.0,0.0,0.0,110632960,3851558912,6.0,6801076224,23020621824,22.8,48.199
1589027083,0.0,0.0,1.0,0.0,110632960,3851558912,6.0,6801076224,23020621824,22.8,47.712
1589027084,1.0,0.0,0.0,0.0,110632960,3851558912,6.0,6801076224,23020621824,22.8,47.225
1589027085,0.0,0.0,1.0,0.0,110624768,3851567104,6.0,6801076224,23020621824,22.8,47.225
1589027086,0.0,1.0,1.0,1.0,110882816,3851317248,6.0,6801076224,23020621824,22.8,47.225
1589027087,2.0,3.0,2.0,1.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.712
1589027088,0.0,0.0,1.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,46.738
1589027089,0.0,0.0,0.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.712
1589027090,0.0,0.0,0.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,46.738
1589027091,0.0,0.0,0.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,46.251
1589027092,0.0,0.0,1.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.225
1589027093,0.0,0.0,0.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.225
1589027094,0.0,0.0,1.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.225
1589027095,0.0,0.0,0.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,46.738
1589027096,0.0,0.0,1.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.225
1589027097,0.0,0.0,0.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,46.738
1589027098,0.0,1.0,0.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.225
1589027099,1.0,0.0,1.0,0.0,110829568,3851370496,6.0,6801076224,23020621824,22.8,47.712
1589027100,0.0,0.0,1.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.712
1589027101,1.0,0.0,1.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.225
1589027102,0.0,0.0,0.0,1.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,46.251
1589027103,0.0,0.0,0.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,47.225
1589027104,0.0,0.0,1.0,0.0,110837760,3851362304,6.0,6801076224,23020621824,22.8,46.738
1589027105,0.0,1.0,0.0,1.0,111063040,3851128832,6.0,6801076224,23020621824,22.8,46.738
1589027106,1.0,0.0,1.0,0.0,111063040,3851128832,6.0,6801076224,23020621824,22.8,47.225
1589027107,0.0,1.0,0.0,0.0,111063040,3851128832,6.0,6801076224,23020621824,22.8,47.225
1589027108,0.0,0.0,1.0,0.0,111063040,3851128832,6.0,6801076224,23020621824,22.8,47.712
1589027109,0.0,2.0,2.0,0.0,111063040,3851137024,6.0,6801076224,23020621824,22.8,46.738
1589027110,0.0,1.0,1.0,0.0,111054848,3851137024,6.0,6801076224,23020621824,22.8,47.712
1589027111,1.0,0.0,1.0,0.0,111054848,3851137024,6.0,6801076224,23020621824,22.8,46.738
1589027112,0.0,1.0,0.0,1.0,111054848,3851137024,6.0,6801076224,23020621824,22.8,46.738
1589027113,0.0,0.0,2.0,0.0,111054848,3851145216,6.0,6801076224,23020621824,22.8,47.225
1589027114,0.0,0.0,0.0,0.0,111054848,3851145216,6.0,6801076224,23020621824,22.8,47.225
1589027115,0.0,0.0,1.0,0.0,111054848,3851145216,6.0,6801076224,23020621824,22.8,47.225
1589027116,1.0,0.0,0.0,0.0,111046656,3851145216,6.0,6801076224,23020621824,22.8,46.738
1589027117,0.0,0.0,1.0,5.0,111046656,3851153408,6.0,6801076224,23020621824,22.8,46.738
1589027118,0.0,0.0,1.0,0.0,111046656,3851153408,6.0,6801076224,23020621824,22.8,46.738
1589027119,0.0,1.0,0.0,0.0,111046656,3851153408,6.0,6801076224,23020621824,22.8,46.738
1589027121,0.0,0.0,0.0,0.0,111038464,3851157504,6.0,6801080320,23020617728,22.8,47.225
1589027122,0.0,0.0,0.0,0.0,111038464,3851157504,6.0,6801080320,23020617728,22.8,46.738
1589027123,0.0,0.0,1.0,0.0,111038464,3851157504,6.0,6801080320,23020617728,22.8,45.764
1589027124,0.0,0.0,0.0,0.0,111038464,3851157504,6.0,6801080320,23020617728,22.8,46.738
1589027125,0.0,0.0,1.0,0.0,111038464,3851157504,6.0,6801080320,23020617728,22.8,47.712
1589027126,0.0,0.0,2.0,0.0,111042560,3851132928,6.0,6801080320,23020617728,22.8,46.738
1589027127,0.0,0.0,1.0,0.0,111042560,3851132928,6.0,6801080320,23020617728,22.8,47.225
1589027128,0.0,0.0,0.0,0.0,111042560,3851132928,6.0,6801080320,23020617728,22.8,46.738
1589027129,2.0,0.0,1.0,0.0,111026176,3851132928,6.0,6801080320,23020617728,22.8,47.225
